Year,SAM,StdError_SAM
1989,89.69274798,1.103460527
1990,93.28900582,1.840511019
1991,94.94818589,1.834186818
1992,82.27577579,1.427153962
1993,74.09528213,1.236932603
1994,83.02050667,1.631907221
1995,82.69946141,0.560906399
1996,86.81094592,1.493535346
1997,93.60788416,1.625216249
1998,86.90085987,1.757619206
1999,81.3647357,1.783459469
2000,84.190517,1.611237329
2001,86.13197449,0.957358249
2002,88.25289217,1.909707473
2003,92.02150496,1.766734438
2004,79.19552847,1.769342884
2005,82.23357122,1.885077061
2006,81.67029205,1.90945062
2007,82.96243122,3.131145748
2009,93.69853655,4.905013235
2010,72.78093696,1.38064533
2011,82.91461787,2.632617078
2013,78.76831073,1.141052128
2015,78.23512035,1.949464995
2017,75.68142225,1.232076689
2018,72.47012399,0.733233467
2019,83.12460879,1.422502479
2021,64.5742877,3.539069408
2022,77.50095993,2.245944205
2023,79.39719787,1.323024123
