Benthic_invert,Invert_common,Benthic_predator,Pred_common
50192,,420,big skate
56310,,435,bering skate
56311,,440,longnose skate
56312,,455,mud skate
65201,,460,roughtail skate
56313,,471,alaska skate
57409,,472,aleutian skate
65100,,480,whiteblotched skate
65203,,485,whitebrow skate
66030,,10115,greenland turbot
50160,,10120,pacific halibut
66020,,10130,flathead sole
66019,,10140,bering flounder
66031,,10220,starry flounder
68781,,20320,wolf eel 
69010,,20322,bering wolffish
50010,,20510,sablefish
66502,,21311,northern sculpin
66515,,21315,staghorn sculpin
66045,,21347,yellow irish lord
66150,,21348,butterfly sculpin
66170,,21368,shorthorn sculpin
66171,,21370,great sculpin
68040,,21371,plain sculpin
66175,,21388,antlered sculpin
66570,,21390,spinyhead sculpin
66179,,21420,bigmouth sculpin
66580,,21438,thorny sculpin
50000,,21720,pacific cod
50001,,21722,pacific cod adult
68510,,24184,marbled eelpout
68578,,24185,wattled eelpout
68577,,24191,shortfin eelpout
69035,,78010,octopus
69042,,78012,smoothskin octopus
69060,,78403,giant octopus
69061,,,
69070,,,
69086,,,
69090,,,
69095,,,
69110,,,
69120,,,
69121,,,
69400,,,
71010,,,
71018,,,
71025,,,
71026,,,
71030,,,
71500,,,
71524,,,
71535,,,
71537,,,
71575,,,
71580,,,
71583,,,
71590,,,
71634,,,
71640,,,
71681,,,
71710,,,
71721,,,
71730,,,
71731,,,
71747,,,
71750,,,
71753,,,
71756,,,
71761,,,
71763,,,
71769,,,
71771,,,
71772,,,
71800,,,
71820,,,
71835,,,
71870,,,
71882,,,
71884,,,
71886,,,
71890,,,
72063,,,
72420,,,
72500,,,
72740,,,
72743,,,
72751,,,
72752,,,
72755,,,
72790,,,
74000,,,
74050,,,
74060,,,
74065,,,
74080,,,
74104,,,
74120,,,
74310,,,
74311,,,
74414,,,
74560,,,
74562,,,
74980,,,
74983,,,
75111,,,
75201,,,
75205,,,
75240,,,
75241,,,
75264,,,
75267,,,
75284,,,
75285,,,
75286,,,
75287,,,
75600,,,
75605,,,
80015,,,
80020,,,
80110,,,
80200,,,
80540,,,
80590,,,
80660,,,
80728,,,
80730,,,
81060,,,
81095,,,
81310,,,
81355,,,
81742,,,
81780,,,
81829,,,
81870,,,
81910,,,
82510,,,
82511,,,
82730,,,
82740,,,
83020,,,
83320,,,
83400,,,
85000,,,
85169,,,
85201,,,
92500,,,
93100,,,
94000,,,
94500,,,
