year,beninvert_cpue,cpa,Mean_AO,mat_male_d95,bcs_imm,mat_male_COD,temp_occ_imm,Jan_ice,cod_consumption,male_SAM
1982,4.030993864,52531,0.3882,NA,NA,NA,NA,0.216325959,NA,NA
1983,4.045529187,37293,-0.337966667,NA,NA,NA,NA,0.285092867,NA,NA
1984,5.503893504,51729,-0.594566667,NA,NA,NA,NA,0.098230886,NA,NA
1985,2.347123735,42907,-1.231366667,NA,NA,NA,NA,0.05788125,756.0805993,NA
1986,3.058854919,62155,-0.513633333,NA,NA,NA,NA,0.158096592,898.2949675,NA
1987,5.336081177,21253,-1.455766667,NA,NA,NA,NA,0.15426406,1073.282585,NA
1988,7.357300012,56942,-0.332866667,34085,NA,58.80955154,-0.220862673,0.197019272,332.1295837,NA
1989,6.517825287,29674,2.638533333,42506,0.023348924,58.53063639,1.959999159,0.320354213,801.5711168,89.69274798
1990,6.855496067,45313,2.4641,35689,0.009946079,58.32014361,-0.245433099,0.27995667,410.4518907,93.28900582
1991,6.729969781,40501,-0.226533333,42907,0.012036701,58.15994442,0.749096966,0.277082852,459.2131903,94.94818589
1992,6.675661658,60551,0.8853,47719,0.013745594,58.61135226,0.276893861,0.307464338,230.5789464,82.27577579
1993,6.300812224,35288,1.4814,45313,0.015422912,59.21396951,0.971276186,0.234386219,261.7553281,74.09528213
1994,6.005405858,54135,0.243866667,43308,0.055268979,58.85277429,-1.07103034,0.249831207,866.3247434,83.02050667
1995,7.392619192,71378,0.5561,33283,0.027054372,58.14911505,-0.572802239,0.310068823,532.8535239,82.69946141
1996,6.425965116,27669,-0.840133333,38095,0.057090958,57.82190555,1.369071474,0.20532637,739.7528811,86.81094592
1997,8.229652722,43308,0.8409,43709,0.026385487,57.99254527,0.511905437,0.225395193,812.115548,93.60788416
1998,6.260960555,25664,-0.8394,52932,0.083699942,58.51383143,1.474902328,0.339864233,484.294339,86.90085987
1999,4.772254419,99047,-0.2997,60952,0.015770763,58.48750551,-0.775310207,0.268424961,236.3014836,81.3647357
2000,6.26215262,59749,0.631533333,58546,0.027360799,59.01357406,0.123572083,0.459012575,540.790507,84.190517
2001,6.18063279,45313,-1.089233333,57744,0.033787169,59.26898693,0.457995841,0.109898026,825.6769695,86.13197449
2002,7.141492699,25664,1.1956,39699,0.0556854,59.38967969,1.100608106,0.401438123,292.6627351,88.25289217
2003,8.431315692,13233,0.196366667,38897,0.051825968,59.47259891,1.100401788,0.153737046,349.3587849,92.02150496
2004,8.116485437,24461,-0.9654,37694,0.012487144,59.21803316,1.253183322,0.159457908,NA,79.19552847
2005,9.013827156,23258,-0.7541,40902,0.03065036,58.92713147,1.380302237,0.114913338,449.5997503,82.23357122
2006,8.54795884,68170,-0.643366667,33283,0.015701599,58.92102588,-0.940092509,0.412073225,142.9894469,81.67029205
2007,7.338357157,78997,0.636333333,38496,0.004273214,58.59587797,-0.61847042,0.30888385,104.9661791,82.96243122
2008,8.835266014,96240,0.7809,44912,0.018743026,58.4943747,-0.724870514,0.248485886,177.2167043,NA
2009,7.854002321,89824,0.082933333,42105,0.024029594,58.15833407,-0.976122203,0.385815212,131.0818259,93.69853655
2010,8.613732513,74987,-2.4282,38496,0.038192975,58.19129719,-0.367074146,0.269687673,223.7227551,72.78093696
2011,8.090870097,45714,0.4388,38095,0.09721122,58.47909294,0.660317837,0.243612958,313.720484,82.91461787
2012,8.702751325,103057,0.260366667,38897,0.015343128,58.16130996,-0.617185334,0.356236046,291.6899961,NA
2013,8.781933758,72982,-1.600766667,36491,0.012134967,57.89814913,-0.561330241,0.287069028,495.3311441,78.76831073
2014,8.166086535,36491,0.0936,36892,0.010883163,57.76018011,1.545886503,0.164373513,1248.329877,NA
2015,8.949914316,34486,1.323866667,39298,0.057726883,58.25329911,-0.58640329,0.067540079,1843.18485,78.23512035
2016,9.299961074,25664,-0.397333333,42907,0.100850968,58.64940731,-0.030289588,0.089013363,2037.698052,NA
2017,10.49087004,48120,0.882433333,36892,0.047345059,59.35837735,-0.362894773,0.083904394,692.6265546,75.68142225
2018,7.662265552,1604,-0.369733333,28070,0.032452936,58.68630447,3.299371419,0.049780291,1097.690322,72.47012399
2019,8.079800642,8020,0.8508,27669,0.032688361,59.03449624,2.471914684,0.168015463,569.5616274,83.12460879
2020,NA,NA,2.825866667,NA,NA,NA,NA,0.161478563,NA,NA
2021,8.099564666,18446,-0.5217,42907,0.035554043,59.65806435,2.377950936,0.157105315,615.8990828,64.5742877
2022,NA,49724,0.8856,44511,0.03087298,59.46395119,-0.426851829,0.271677037,NA,77.50095993
