"","Year","JanFeb_avg"
"1",1979,431022.494
"2",1980,725088.1905
"3",1981,703970.1195
"4",1982,545335.435
"5",1983,698635.32
"6",1984,622076.0185
"7",1985,441178.7
"8",1986,577936.7485
"9",1987,626153.528
"10",1988,640431.522
"11",1989,600266.5365
"12",1990,708265.6205
"13",1991,736978.838
"14",1992,682836.383
"15",1993,644308.9205
"16",1994,589300.257
"17",1995,802185.5915
"18",1996,546658.88
"19",1997,611870.472
"20",1998,819217.004
"21",1999,716865.2555
"22",2000,810399.766
"23",2001,478173.1675
"24",2002,812236.375
"25",2003,549148.447
"26",2004,540711.107
"27",2005,519278.8695
"28",2006,741269.476
"29",2007,610043.474
"30",2008,715311.8745
"31",2009,791879.1215
"32",2010,742927.418
"33",2011,625547.496
"34",2012,865017.45
"35",2013,790702.7485
"36",2014,543597.3575
"37",2015,444062.373
"38",2016,523308.021
"39",2017,428097.682
"40",2018,274917.433
"41",2019,440316.189
"42",2020,587533.561
"43",2021,526367.148
"44",2022,715551.311
"45",2023,581597.4445
"46",2024,563232.0105
