"","YEAR","Prop_full"
"1",1988,0.989983037102542
"2",1989,0.991473773751242
"3",1990,0.969653405507429
"4",1991,0.931363426529054
"5",1992,0.510344511412976
"6",1993,0.94555265794489
"7",1994,0.92904500286589
"8",1995,0.953501636004353
"9",1996,0.913110615540098
"10",1997,0.926244609468522
"11",1998,0.900133603792238
"12",1999,0.843527009342381
"13",2000,0.751608773492547
"14",2001,0.938313115716596
"15",2002,0.952060464437439
"16",2003,0.928794090757049
"17",2004,0.896867950055809
"18",2005,0.895204635386383
"19",2006,0.900261670613081
"20",2007,0.872564540505035
"21",2008,0.911844870078938
"22",2009,0.797348788424804
"23",2010,0.907602545504951
"24",2011,0.941346563571644
"25",2012,0.92971625682613
"26",2013,0.793969120313499
"27",2014,0.744770650183798
"28",2015,0.757722014093648
"29",2016,0.790879483107198
"30",2017,0.792951039170002
"31",2018,0.880282234860517
"32",2019,0.94418331158637
"33",2020,NA
"34",2021,0.929831392755583
"35",2022,0.574661983339347
"36",2023,0.889032762844818
"37",2024,0.894908521319992
