Recruits,Year
3269643.108,1982
2071534.504,1983
3065054.593,1984
5143374.899,1985
585097.9783,1986
2245348.328,1987
138145.7758,1988
666155.0319,1989
3102039.676,1990
4367509.413,1991
1685609.33,1992
281649.0529,1993
74841.9675,1994
151338.6307,1995
144815.104,1996
1947158.148,1997
100276.8515,1998
361635.5001,1999
323099.291,2000
1836295.341,2001
1773278.575,2002
1227079.083,2003
1122569.431,2004
169941.7102,2005
76702.3524,2006
520961.482,2007
1194877.092,2008
155982.2085,2009
441224.6015,2010
434931.2867,2011
1054856.013,2012
868766.8506,2013
6067644.287,2014
6865840.065,2015
11429488.27,2016
90280.7797,2017
43618.058,2018
32329.3227,2019
398562.1351,2020
76699.9116,2021
